Observation_Year,Observation_Count,Observed_Taxon_Count,Location_Count,Mean_Observed_Depth_m,Mean_Water_Temp_C,Mean_Salinity_ppt,Mean_pH
2000,8033,101,56,300.42,15.56,29.07,7.836
2001,8281,101,56,313.99,15.68,29.18,7.835
2002,7979,101,56,315.27,15.53,29.68,7.843
2003,8032,101,56,322.68,15.57,30.36,7.845
2004,8030,101,56,306.57,15.57,29.66,7.837
2005,8151,101,56,316.8,15.48,29.69,7.839
2006,8000,101,56,310.63,15.5,29.98,7.835
2007,8155,101,56,319.55,15.61,29.97,7.836
2008,8174,101,56,312.62,15.58,30.13,7.84
2009,8188,101,56,293.97,15.88,29.77,7.83
2010,8176,101,56,316.89,15.71,29.74,7.836
2011,8017,101,56,313.25,15.63,29.88,7.843
2012,8096,101,56,311.88,15.6,29.08,7.836
2013,8079,101,56,320.96,15.64,29.96,7.842
2014,8025,101,56,303.13,15.73,30.28,7.837
2015,8209,101,56,315.48,15.46,30.52,7.843
2016,8218,101,56,303.38,15.73,30.14,7.843
2017,8155,101,56,305.02,15.7,29.8,7.837
2018,8122,101,56,318.6,15.48,29.81,7.836
2019,8060,101,56,307.36,15.6,29.71,7.84
2020,8123,101,56,313.47,15.66,29.99,7.842
2021,8094,101,56,305.52,15.62,29.86,7.833
2022,8258,101,56,322.82,15.66,30.04,7.838
2023,8119,101,56,309.81,15.52,29.56,7.833
2024,5226,101,56,302.18,15.76,30.58,7.836
