Biome,Observation_Count,Taxon_Count,Mean_Depth_m,Mean_Temperature_C,Mean_Salinity_ppt,Mean_pH
Ocean,57429,29,370.76,12.43,35.0,7.95
Coral Reef,35642,18,23.27,23.99,34.99,7.947
Deep Ocean,29701,15,1113.61,4.31,35.02,7.948
River,17822,9,4.23,21.0,0.25,7.253
Coast,13861,7,56.1,22.1,34.99,7.947
Arctic,9901,5,349.42,2.54,34.98,7.949
River/Ocean,3961,2,58.66,20.82,0.25,7.949
Mangrove,3960,2,0.99,22.43,8.89,7.251
Ocean Floor,3960,2,199.72,15.73,35.0,7.953
Pond,3960,2,1.0,21.05,0.25,7.25
Coastal,1981,1,3.5,21.15,0.25,7.946
Estuary,1981,1,2.53,24.03,17.68,7.946
Lake/River,1981,1,4.98,20.85,0.25,7.253
Galapagos,1980,1,15.13,24.09,35.03,7.943
Lake,1980,1,2.53,21.0,0.25,7.243
River/Sea,1980,1,84.26,20.76,0.25,7.944
Salt Lake,1980,1,2.58,24.0,209.7,7.94
Sea Grass,1980,1,35.29,24.03,34.99,7.939
Sub-Antarctic,1980,1,728.19,3.28,34.95,7.954
Swamp,1980,1,2.51,20.91,0.25,7.265
