Location,Observation_Count,Min_Latitude,Max_Latitude,Latitude_Span,Min_Longitude,Max_Longitude,Longitude_Span
Hawaii,5940,-29.996,29.983,59.978,-179.994,179.996,359.991
Atlantic Ocean,23763,-89.999,89.998,179.997,-179.987,179.985,359.972
Pacific Ocean,23762,-89.955,89.995,179.951,-179.966,179.999,359.965
Bering Sea,2475,65.002,89.991,24.989,-179.981,179.983,359.964
Indian Ocean,23762,-89.999,89.993,179.991,-179.983,179.965,359.948
Coral Triangle,5940,-29.99,29.995,59.985,-179.994,179.951,359.945
Arctic Ocean,16338,-89.997,89.996,179.992,-179.959,179.985,359.944
Maldives,5940,-29.994,29.99,59.984,-179.969,179.962,359.93
Southern Ocean,14852,-89.982,89.978,179.96,-179.995,179.922,359.917
Congo River,2970,-29.937,59.971,89.907,-179.923,179.975,359.897
North Sea,2772,-49.981,49.983,99.964,-179.891,180.0,359.891
Red Sea,5940,-29.991,29.993,59.983,-179.929,179.959,359.887
Beaufort Sea,2475,65.015,89.977,24.962,-179.908,179.959,359.867
Great Barrier Reef,5941,-30.0,29.995,59.995,-179.887,179.98,359.867
Mississippi River,2970,-29.995,59.991,89.986,-179.904,179.95,359.855
Caribbean Sea,5941,-29.985,29.997,59.982,-179.975,179.875,359.851
Nile River,2971,-29.952,59.991,89.943,-179.911,179.916,359.827
Yangtze River,2970,-29.98,59.997,89.977,-179.839,179.986,359.826
Amazon River,2970,-29.914,59.992,89.906,-179.922,179.891,359.813
Ganges River,2971,-29.99,59.972,89.962,-179.901,179.857,359.758
Pacific Northwest,1320,30.041,69.958,39.917,-179.761,179.84,359.601
Bay of Bengal,2772,-49.914,49.968,99.882,-179.809,179.791,359.6
Gulf of Mexico,2772,-49.961,49.98,99.941,-179.541,179.983,359.524
North Atlantic,1321,30.077,69.987,39.91,-179.795,179.719,359.514
Mediterranean Sea,2773,-49.999,49.928,99.927,-179.871,179.618,359.489
Greenland Sea,2475,65.007,89.999,24.993,-179.552,179.906,359.458
Baltic Sea,1320,30.048,69.998,39.95,-179.761,179.645,359.406
California Coast,2772,-49.993,49.987,99.98,-179.826,179.568,359.395
Weddell Sea,990,-79.972,-50.011,29.961,-179.402,178.71,358.112
Mediterranean,495,-39.926,39.993,79.919,-169.918,169.257,339.175
Chesapeake Bay,495,-39.588,39.765,79.354,-168.875,169.883,338.758
Moreton Bay,495,-39.907,39.967,79.874,-169.29,169.236,338.527
Florida Bay,495,-39.953,39.751,79.704,-168.184,169.748,337.932
Lake Urmia,495,10.092,49.971,39.878,-119.894,59.995,179.888
Dead Sea,495,10.091,49.955,39.865,-119.532,59.762,179.294
Great Salt Lake,495,10.05,49.966,39.916,-119.759,59.471,179.23
Caspian Sea,1155,10.076,49.999,39.923,-119.933,58.869,178.802
Okavango Delta,495,-29.908,29.86,59.768,-99.807,39.7,139.507
Everglades,495,-29.561,29.698,59.259,-99.703,39.777,139.48
Pantanal,495,-29.993,29.993,59.986,-99.504,39.957,139.46
Niger Delta,495,-29.794,29.892,59.686,-98.885,39.56,138.445
Lake Tanganyika,495,-19.977,19.903,39.879,20.077,119.972,99.895
Lake Victoria,496,-19.907,19.968,39.875,20.132,119.629,99.497
Lake Baikal,495,-19.909,19.891,39.801,20.488,119.749,99.261
Amazon Basin,495,-19.983,19.96,39.943,20.652,119.705,99.053
Amazon Delta,990,-29.986,29.909,59.894,60.043,139.956,79.914
SE Asian Coast,990,-29.982,29.944,59.926,60.071,139.94,79.869
Florida Mangroves,990,-29.935,29.97,59.905,60.03,139.868,79.838
Sundarbans,990,-29.954,29.862,59.816,60.082,139.911,79.829
Nile Delta,496,-19.852,29.856,49.707,60.231,139.938,79.707
Mekong Delta,495,-19.838,29.981,49.819,60.044,139.693,79.648
Ganges Delta,495,-19.975,29.965,49.94,60.416,139.966,79.55
Amazon Estuary,495,-19.918,29.908,49.825,60.507,139.915,79.408
Danube Delta,660,35.011,49.837,14.826,25.112,54.988,29.876
Black Sea,660,35.005,49.983,14.978,25.171,54.964,29.793
Galápagos Islands,1980,-1.998,2.0,3.998,-91.999,-89.001,2.998
