Location,Observation_Count,Observed_Taxon_Count,Biome_Count,Method_Count,Mean_Latitude,Mean_Longitude,First_Observation_Date,Last_Observation_Date
Atlantic Ocean,23763,50,6,7,0.1571,-0.3302,2000-01-01,2024-08-21
Indian Ocean,23762,50,6,7,-0.493,0.6556,2000-01-02,2024-08-21
Pacific Ocean,23762,50,6,7,-0.3984,0.345,2000-01-01,2024-08-21
Arctic Ocean,16338,40,6,15,12.2139,0.6887,2000-01-01,2024-08-20
Southern Ocean,14852,36,6,15,-4.872,-0.1674,2000-01-01,2024-08-21
Caribbean Sea,5941,18,1,5,-0.365,2.355,2000-01-04,2024-08-21
Great Barrier Reef,5941,18,1,5,-0.0736,-1.7462,2000-01-03,2024-08-20
Coral Triangle,5940,18,1,5,0.3658,-0.2858,2000-01-01,2024-08-20
Hawaii,5940,18,1,5,-0.1171,0.0871,2000-01-01,2024-08-21
Maldives,5940,18,1,5,-0.1366,1.318,2000-01-01,2024-08-19
Red Sea,5940,18,1,5,0.3317,-2.7738,2000-01-01,2024-08-19
Ganges River,2971,9,1,5,15.0094,1.5964,2000-01-02,2024-08-14
Nile River,2971,9,1,5,14.4287,1.7818,2000-01-03,2024-08-21
Amazon River,2970,9,1,5,14.8055,-2.0533,2000-01-07,2024-08-21
Congo River,2970,9,1,5,15.2317,1.7525,2000-01-04,2024-08-16
Mississippi River,2970,9,1,5,15.0216,-2.6611,2000-01-02,2024-08-21
Yangtze River,2970,9,1,5,15.793,-1.3238,2000-01-01,2024-08-21
Mediterranean Sea,2773,7,1,3,-0.8316,-1.3281,2000-01-02,2024-08-21
Bay of Bengal,2772,7,1,3,1.2194,-1.7913,2000-01-01,2024-08-21
California Coast,2772,7,1,3,0.0183,-0.0646,2000-01-05,2024-08-14
Gulf of Mexico,2772,7,1,3,0.0425,-1.9195,2000-01-01,2024-08-18
North Sea,2772,7,1,3,-0.2116,-0.2447,2000-01-07,2024-08-21
Beaufort Sea,2475,5,1,15,77.2758,-2.9363,2000-01-01,2024-08-20
Bering Sea,2475,5,1,15,77.6756,1.47,2000-01-06,2024-08-19
Greenland Sea,2475,5,1,15,77.3709,3.512,2000-01-07,2024-08-21
Galápagos Islands,1980,1,1,15,-0.004,-90.5237,2000-01-01,2024-08-18
North Atlantic,1321,2,1,5,49.615,2.9794,2000-01-02,2024-08-19
Baltic Sea,1320,2,1,5,49.7495,-2.6304,2000-01-01,2024-08-18
Pacific Northwest,1320,2,1,5,50.0552,-3.7478,2000-01-10,2024-08-21
Caspian Sea,1155,2,2,15,36.9691,8.4651,2000-01-09,2024-08-01
Amazon Delta,990,2,1,15,0.3139,99.874,2000-01-13,2024-08-16
Florida Mangroves,990,2,1,15,-0.6044,99.5976,2000-01-06,2024-08-16
SE Asian Coast,990,2,1,15,0.0435,99.9975,2000-01-01,2024-08-14
Sundarbans,990,2,1,15,0.7363,99.4626,2000-01-01,2024-08-18
Weddell Sea,990,1,1,15,-65.2355,2.362,2000-01-19,2024-08-14
Black Sea,660,1,1,5,42.5237,40.267,2000-02-13,2024-07-23
Danube Delta,660,1,1,5,42.393,39.9428,2000-01-06,2024-08-08
Lake Victoria,496,1,1,15,0.1988,70.8813,2000-01-03,2024-08-04
Nile Delta,496,1,1,15,5.162,99.1481,2000-01-07,2024-08-21
Amazon Basin,495,1,1,15,-0.5532,69.3729,2000-01-26,2024-08-05
Amazon Estuary,495,1,1,15,4.9211,100.1423,2000-01-08,2024-08-19
Chesapeake Bay,495,1,1,15,0.8073,-2.6973,2000-01-13,2024-08-02
Dead Sea,495,1,1,15,28.9253,-30.9095,2000-01-08,2024-08-08
Everglades,495,1,1,15,0.5962,-29.037,2000-01-12,2024-08-15
Florida Bay,495,1,1,15,-0.393,3.754,2000-01-12,2024-08-04
Ganges Delta,495,1,1,15,4.1065,100.9756,2000-01-03,2024-07-30
Great Salt Lake,495,1,1,15,29.7926,-30.5097,2000-02-24,2024-08-14
Lake Baikal,495,1,1,15,0.1725,70.6784,2000-01-22,2024-08-02
Lake Tanganyika,495,1,1,15,-0.8367,71.6871,2000-02-10,2024-07-27
Lake Urmia,495,1,1,15,30.6596,-32.4972,2000-01-15,2024-08-08
Mediterranean,495,1,1,15,-1.0386,-5.1043,2000-02-17,2024-08-14
Mekong Delta,495,1,1,15,4.4699,100.7123,2000-01-10,2024-08-15
Moreton Bay,495,1,1,15,-0.9997,6.1596,2000-01-13,2024-08-18
Niger Delta,495,1,1,15,-2.2849,-31.259,2000-01-04,2024-08-13
Okavango Delta,495,1,1,15,0.1084,-32.433,2000-01-07,2024-08-19
Pantanal,495,1,1,15,-1.1896,-29.0712,2000-01-01,2024-08-14
