Record_ID,Common_Name,Scientific_Name,Habitat_Type,IUCN_Status,Location,Latitude,Longitude,Biome,Obs_Depth_m,Water_Temp_C,Observation_Year
1,Great White Shark,Carcharodon carcharias,Marine,Vulnerable,Pacific Ocean,-61.9166,-123.842,Ocean,749.5,1.3,2022
9,Killer Whale,Orcinus orca,Marine,Data Deficient,Southern Ocean,-43.9077,-165.4439,Ocean,0.0,26.5,2021
17,Narwhal,Monodon monoceros,Marine,Least Concern,Arctic Ocean,73.7166,-145.3764,Arctic,337.6,5.7,2012
25,Giant Clam,Tridacna gigas,Marine,Vulnerable,Great Barrier Reef,11.8209,72.8943,Coral Reef,10.3,22.3,2016
33,Walrus,Odobenus rosmarus,Marine,Vulnerable,Arctic Ocean,80.3963,159.801,Arctic,40.0,3.7,2002
41,Box Jellyfish,Chironex fleckeri,Marine,Least Concern,California Coast,-7.3909,-99.8725,Coast,22.6,22.8,2016
49,Frilled Shark,Chlamydoselachus anguineus,Marine,Near Threatened,Pacific Ocean,4.1216,89.9679,Deep Ocean,899.5,5.6,2013
57,Barreleye Fish,Macropinna microstoma,Marine,Least Concern,Indian Ocean,-41.1627,-44.1771,Deep Ocean,493.7,1.0,2003
65,Hellbender,Cryptobranchus alleganiensis,Freshwater,Near Threatened,Mississippi River,3.2307,-16.4635,River,2.8,21.9,2014
73,Spotted Eagle Ray,Aetobatus narinari,Marine,Vulnerable,Indian Ocean,-6.839,161.022,Ocean,23.8,19.8,2002
81,Yellowfin Tuna,Thunnus albacares,Marine,Near Threatened,Pacific Ocean,71.5375,9.5682,Ocean,357.5,5.0,2009
89,Tuna (Bigeye),Thunnus obesus,Marine,Vulnerable,Southern Ocean,48.764,-28.067,Ocean,800.0,2.8,2013
97,Triggerfish (Titan),Balistoides viridescens,Marine,Least Concern,Great Barrier Reef,-10.8748,45.3209,Coral Reef,23.0,28.6,2023
105,Atlantic Salmon,Salmo salar,Freshwater/Marine,Least Concern,Baltic Sea,52.8528,58.3603,River/Ocean,102.3,21.8,2011
113,Green Sea Turtle,Chelonia mydas,Marine,Endangered,Indian Ocean,-33.8486,-64.5326,Ocean,24.7,26.7,2008
121,Chinese Giant Salamander,Andrias davidianus,Freshwater,Critically Endangered,Amazon River,17.3762,83.3722,River,5.0,13.5,2004
129,Anglerfish,Melanocetus johnsonii,Marine,Least Concern,Indian Ocean,-39.955,-119.6571,Deep Ocean,398.0,1.2,2009
137,Sea Cucumber,Holothuria scabra,Marine,Least Concern,Atlantic Ocean,8.2236,-20.009,Ocean Floor,0.0,18.2,2019
145,Bluefin Tuna,Thunnus thynnus,Marine,Endangered,Arctic Ocean,-63.0533,-27.3799,Ocean,609.3,1.8,2001
153,Arapaima,Arapaima gigas,Freshwater,Data Deficient,Yangtze River,20.9918,-39.2246,River,5.7,21.0,2015
161,Rainbow Trout,Oncorhynchus mykiss,Freshwater,Least Concern,Mississippi River,-6.0734,52.5924,River,3.4,21.0,2015
169,Brine Shrimp,Artemia salina,Marine/Hypersaline,Least Concern,Great Salt Lake,47.1327,1.6768,Salt Lake,0.0,24.0,2014
