Scientific_Name,Common_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species_Epithet,Habitat_Type,Diet,IUCN_Status,IUCN_Risk_Score,Is_Threatened,Conservation_Group,Primary_Biome,Depth_Min_m,Depth_Max_m,Observation_Count,Location_Count,Biome_Count,Mean_Observed_Depth_m,Median_Observed_Depth_m,Mean_Body_Length_cm,Median_Body_Length_cm,Mean_Body_Weight_kg,Median_Body_Weight_kg,Mean_Estimated_Age_yr,Mean_Water_Temp_C,Mean_Salinity_ppt,Mean_pH,First_Observation_Date,Last_Observation_Date,Fun_Fact
Xenopus laevis,African Clawed Frog,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,Freshwater,Carnivore,Least Concern,2,0,Least Concern,Pond,0.0,2.0,1980,5,1,1.0069,1.0,11.0173,11.0,0.1802,0.179,7.5549,20.9562,0.2509,7.2571,2000-01-02,2024-08-13,First vertebrate to be cloned; historical pregnancy test
Thunnus alalunga,Albacore Tuna,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,alalunga,Marine,Carnivore,Near Threatened,3,0,Near Threatened,Ocean,0.0,600.0,1980,5,1,294.5018,290.55,139.898,139.7,60.1318,59.762,6.4306,8.989,34.9748,7.9616,2000-01-03,2024-08-18,Long pectoral fins earn its other name — longfin
Atractosteus spatula,Alligator Gar,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,spatula,Freshwater,Carnivore,Least Concern,2,0,Least Concern,River,0.0,3.0,1980,6,1,1.4965,1.5,269.5822,269.15,119.3236,119.589,13.0274,20.7922,0.2567,7.2515,2000-01-06,2024-08-17,Prehistoric fish unchanged for 100 million years
Inia geoffrensis,Amazon River Dolphin,Animalia,Chordata,Mammalia,Artiodactyla,Iniidae,Inia,geoffrensis,Freshwater,Carnivore,Endangered,5,1,Threatened,River,0.0,30.0,1980,6,1,15.1142,15.2,228.9119,228.2,160.1323,159.2355,14.944,21.0805,0.2475,7.2442,2000-01-02,2024-08-21,Pink coloration intensifies with excitement
Melanocetus johnsonii,Anglerfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Melanocetidae,Melanocetus,johnsonii,Marine,Carnivore,Least Concern,2,0,Least Concern,Deep Ocean,200.0,2000.0,1980,3,1,1103.846,1111.05,15.087,15.1,0.3978,0.3995,15.031,3.8535,35.0255,7.9529,2000-01-02,2024-08-20,Males permanently fuse to females
Arapaima gigas,Arapaima,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Arapaimidae,Arapaima,gigas,Freshwater,Carnivore,Data Deficient,1,0,Unassessed or uncertain,River,0.0,10.0,1980,6,1,5.0575,5.0,399.0607,399.85,180.4813,181.0945,10.086,21.288,0.2503,7.2586,2000-01-04,2024-08-21,World's largest freshwater fish
Toxotes jaculatrix,Archerfish,Animalia,Chordata,Actinopterygii,Perciformes,Toxotidae,Toxotes,jaculatrix,Brackish/Freshwater,Carnivore,Least Concern,2,0,Least Concern,Mangrove,0.0,3.0,1980,4,1,1.4855,1.5,27.9773,28.0,0.7045,0.701,3.4993,20.9179,0.2457,7.2473,2000-01-01,2024-08-18,Shoots water jets to knock insects off branches
Salmo salar,Atlantic Salmon,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Freshwater/Marine,Carnivore,Least Concern,2,0,Least Concern,River/Ocean,0.0,200.0,1981,3,1,102.2993,101.1,90.6575,90.2,11.895,11.817,6.4987,20.887,0.2506,7.9523,2000-01-01,2024-08-20,Returns to birth river using Earth's magnetic field
Ambystoma mexicanum,Axolotl,Animalia,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,mexicanum,Freshwater,Carnivore,Critically Endangered,6,1,Threatened,Lake,0.0,5.0,1980,5,1,2.5345,2.6,25.0448,25.1,0.2488,0.251,4.9697,21.0001,0.2507,7.2426,2000-01-01,2024-08-18,Can regenerate entire limbs
Sphyraena barracuda,Barracuda,Animalia,Chordata,Actinopterygii,Sphyraeniformes,Sphyraenidae,Sphyraena,barracuda,Marine,Carnivore,Least Concern,2,0,Least Concern,Ocean,0.0,100.0,1980,5,1,49.391,49.1,174.5823,174.7,22.1021,22.1445,7.55,24.0524,34.9872,7.9551,2000-01-02,2024-08-19,Accelerates to 43 km/h in short bursts
Macropinna microstoma,Barreleye Fish,Animalia,Chordata,Actinopterygii,Argentiniformes,Opisthoproctidae,Macropinna,microstoma,Marine,Carnivore,Least Concern,2,0,Least Concern,Deep Ocean,200.0,800.0,1980,3,1,500.0683,500.3,13.0843,13.1,0.0403,0.04,4.9758,4.0384,35.0181,7.9401,2000-01-04,2024-08-21,Transparent head; tubular eyes rotate upward
Huso huso,Beluga Sturgeon,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,huso,Freshwater/Marine,Carnivore,Critically Endangered,6,1,Threatened,River/Sea,0.0,170.0,1980,3,1,84.2601,84.0,800.9196,798.55,1396.7237,1395.4875,58.7105,20.7623,0.2501,7.9438,2000-01-06,2024-08-08,Source of prized beluga caviar; critically overfished
Delphinapterus leucas,Beluga Whale,Animalia,Chordata,Mammalia,Artiodactyla,Monodontidae,Delphinapterus,leucas,Marine,Carnivore,Least Concern,2,0,Least Concern,Arctic,0.0,900.0,1980,4,1,447.9622,453.0,500.2231,500.7,1700.0197,1699.19,35.3705,3.1801,34.9644,7.9448,2000-01-03,2024-08-20,Called the 'canary of the sea' for its vocals
