Metric_1,Metric_2,N_Taxa,Spearman_Rho,P_Value,Adjusted_P_Value,Significant_FDR_0_05,Absolute_Rho
Mean_Body_Length_cm,Mean_Body_Weight_kg,101,0.9247050053627374,2.5837218043242865e-43,7.234421052108003e-42,True,0.9247050053627374
Mean_Observed_Depth_m,Mean_Water_Temp_C,101,-0.6997320908561444,3.928661415800349e-16,5.5001259821204885e-15,True,0.6997320908561444
Mean_Body_Weight_kg,Mean_Estimated_Age_yr,101,0.6671248355121836,2.5939460636591537e-14,2.421016326081877e-13,True,0.6671248355121836
Mean_Body_Length_cm,Mean_Estimated_Age_yr,101,0.6363424577751894,8.59573085790476e-13,6.017011600533332e-12,True,0.6363424577751894
Mean_Water_Temp_C,Location_Count,101,0.5611057769514627,1.0394065263219241e-09,5.820676547402775e-09,True,0.5611057769514627
Mean_Observed_Depth_m,Location_Count,101,-0.5136896831052813,3.936321231532293e-08,1.8369499080484033e-07,True,0.5136896831052813
Mean_Observed_Depth_m,Mean_Salinity_ppt,101,0.49612836534620386,1.3210357323173317e-07,5.284142929269327e-07,True,0.49612836534620386
Mean_Observed_Depth_m,Mean_pH,101,0.4393796880957329,4.2907716634075845e-06,1.5017700821926545e-05,True,0.4393796880957329
Mean_Salinity_ppt,Mean_pH,101,0.42229664864714966,1.0885296190866992e-05,3.386536592714175e-05,True,0.42229664864714966
Mean_Observed_Depth_m,Mean_Body_Length_cm,101,0.2760861968549796,0.005195916421403017,0.014548565979928447,True,0.2760861968549796
Mean_Observed_Depth_m,Mean_Body_Weight_kg,101,0.25036983542566826,0.011562522860404422,0.029431876371938528,True,0.25036983542566826
Mean_Body_Length_cm,Mean_Water_Temp_C,101,-0.246697728596389,0.012883003833930757,0.030060342279171762,True,0.246697728596389
Mean_Body_Weight_kg,Mean_Water_Temp_C,101,-0.21806893500530083,0.028471784785669977,0.059174219145446454,False,0.21806893500530083
Mean_Body_Length_cm,Mean_pH,101,0.21659701549944352,0.029587109572723227,0.059174219145446454,False,0.21659701549944352
Mean_Body_Weight_kg,Mean_pH,101,0.2004886846260934,0.04440298452589751,0.08288557111500869,False,0.2004886846260934
Mean_Observed_Depth_m,Mean_Estimated_Age_yr,101,0.17269656377402443,0.0841718502175943,0.14730073788079,False,0.17269656377402443
Mean_Salinity_ppt,Location_Count,101,-0.1692063438064171,0.0907305698540708,0.14943858564199897,False,0.1692063438064171
Mean_Estimated_Age_yr,Mean_Water_Temp_C,101,-0.1512754804892254,0.13102276877431052,0.20381319587114968,False,0.1512754804892254
Mean_pH,Location_Count,101,-0.13824413938722985,0.16799573706300844,0.2475726651454861,False,0.13824413938722985
Mean_Water_Temp_C,Mean_pH,101,-0.11155151103464497,0.26674279731476647,0.3734399162406731,False,0.11155151103464497
Mean_Water_Temp_C,Mean_Salinity_ppt,101,-0.09544111010199384,0.34241634354947026,0.456555124732627,False,0.09544111010199384
Mean_Body_Length_cm,Location_Count,101,-0.07539594381724342,0.45364277953481635,0.5773635375897662,False,0.07539594381724342
Mean_Estimated_Age_yr,Location_Count,101,-0.05539544167878814,0.582175044136125,0.7087348363396303,False,0.05539544167878814
Mean_Body_Weight_kg,Mean_Salinity_ppt,101,0.04449155627277588,0.6586427145924323,0.7287699895855757,False,0.04449155627277588
Mean_Body_Length_cm,Mean_Salinity_ppt,101,0.04355916656208043,0.6653630669815941,0.7287699895855757,False,0.04355916656208043
Mean_Estimated_Age_yr,Mean_Salinity_ppt,101,0.04199245766982215,0.6767149903294631,0.7287699895855757,False,0.04199245766982215
Mean_Estimated_Age_yr,Mean_pH,101,0.022127411780525075,0.8261541711158278,0.8452568559712226,False,0.022127411780525075
Mean_Body_Weight_kg,Location_Count,101,-0.019663402873900695,0.8452568559712226,0.8452568559712226,False,0.019663402873900695
